at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
1,BEYLERİNBEYİ,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %9, arka-grup %18, on-grup %64, onde %9.",1/11 (9%) | 2/11 (18%) | 7/11 (64%) | 1/11 (9%),1/11 (9%),2/11 (18%),7/11 (64%),1/11 (9%),https://yenibeygir.com/at/103336/beylerinbeyi,103336
2,SİGUEME,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %15, on-grup %41, onde %44.",0/27 (0%) | 4/27 (15%) | 11/27 (41%) | 12/27 (44%),0/27 (0%),4/27 (15%),11/27 (41%),12/27 (44%),https://yenibeygir.com/at/102198/sigueme,102198
3,RASİM HAN,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %12, on-grup %50, onde %38.",0/8 (0%) | 1/8 (12%) | 4/8 (50%) | 3/8 (38%),0/8 (0%),1/8 (12%),4/8 (50%),3/8 (38%),https://yenibeygir.com/at/101863/rasim-han,101863
4,BLUEBACK,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %20, arka-grup %60, on-grup %20, onde %0.",1/5 (20%) | 3/5 (60%) | 1/5 (20%) | 0/5 (0%),1/5 (20%),3/5 (60%),1/5 (20%),0/5 (0%),https://yenibeygir.com/at/104416/blueback,104416
5,YAĞIZ BİKE,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %75, on-grup %0, onde %0.",1/4 (25%) | 3/4 (75%) | 0/4 (0%) | 0/4 (0%),1/4 (25%),3/4 (75%),0/4 (0%),0/4 (0%),https://yenibeygir.com/at/105179/yagiz-bike,105179
6,ARSLAN KAN,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %33, on-grup %33, onde %0.",3/9 (33%) | 3/9 (33%) | 3/9 (33%) | 0/9 (0%),3/9 (33%),3/9 (33%),3/9 (33%),0/9 (0%),https://yenibeygir.com/at/103224/arslan-kan,103224
7,ROBERTKAYA,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %50, arka-grup %25, on-grup %25, onde %0.",4/8 (50%) | 2/8 (25%) | 2/8 (25%) | 0/8 (0%),4/8 (50%),2/8 (25%),2/8 (25%),0/8 (0%),https://yenibeygir.com/at/104516/robertkaya,104516
1,ALAMAÇ,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105976/alamac,105976
2,GİDERLİCAN,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105800/giderlican,105800
3,HUDUTSUZ,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106353/hudutsuz,106353
4,KARAKÖPRÜ ATEŞİ,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106746/karakopru-atesi,106746
5,MİREKTAY,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105828/mirektay,105828
6,SALGUR,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106540/salgur,106540
