at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
4,SCHATZ,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %27, arka-grup %27, on-grup %27, onde %18.",3/11 (27%) | 3/11 (27%) | 3/11 (27%) | 2/11 (18%),3/11 (27%),3/11 (27%),3/11 (27%),2/11 (18%),https://www.yenibeygir.com/at/103268/schatz,103268
5,YAKARİ,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %27, arka-grup %9, on-grup %45, onde %18.",3/11 (27%) | 1/11 (9%) | 5/11 (45%) | 2/11 (18%),3/11 (27%),1/11 (9%),5/11 (45%),2/11 (18%),https://www.yenibeygir.com/at/102050/yakari,102050
6,IRONHOOF,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %9, arka-grup %0, on-grup %36, onde %55.",1/11 (9%) | 0/11 (0%) | 4/11 (36%) | 6/11 (55%),1/11 (9%),0/11 (0%),4/11 (36%),6/11 (55%),https://www.yenibeygir.com/at/102078/ironhoof,102078
7,MASTER OF RACE,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %40, on-grup %60, onde %0.",0/5 (0%) | 2/5 (40%) | 3/5 (60%) | 0/5 (0%),0/5 (0%),2/5 (40%),3/5 (60%),0/5 (0%),https://www.yenibeygir.com/at/103738/master-of-race,103738
8,NAMASTE,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %0, on-grup %75, onde %0.",2/8 (25%) | 0/8 (0%) | 6/8 (75%) | 0/8 (0%),2/8 (25%),0/8 (0%),6/8 (75%),0/8 (0%),https://www.yenibeygir.com/at/103567/namaste,103567
9,TRAİDORA,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %6, arka-grup %12, on-grup %24, onde %59.",1/17 (6%) | 2/17 (12%) | 4/17 (24%) | 10/17 (59%),1/17 (6%),2/17 (12%),4/17 (24%),10/17 (59%),https://www.yenibeygir.com/at/102254/traidora,102254
10,QUEEN SEÇİL,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %13, on-grup %73, onde %13.",0/15 (0%) | 2/15 (13%) | 11/15 (73%) | 2/15 (13%),0/15 (0%),2/15 (13%),11/15 (73%),2/15 (13%),https://www.yenibeygir.com/at/103326/queen-secil,103326
11,TALADRRO,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %38, on-grup %54, onde %0.",1/13 (8%) | 5/13 (38%) | 7/13 (54%) | 0/13 (0%),1/13 (8%),5/13 (38%),7/13 (54%),0/13 (0%),https://www.yenibeygir.com/at/102645/taladrro,102645
12,YOU AND ME,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %25, on-grup %38, onde %12.",2/8 (25%) | 2/8 (25%) | 3/8 (38%) | 1/8 (12%),2/8 (25%),2/8 (25%),3/8 (38%),1/8 (12%),https://www.yenibeygir.com/at/104477/you-and-me,104477
13,MALCOOBA,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %17, on-grup %33, onde %33.",1/6 (17%) | 1/6 (17%) | 2/6 (33%) | 2/6 (33%),1/6 (17%),1/6 (17%),2/6 (33%),2/6 (33%),https://www.yenibeygir.com/at/103563/malcooba,103563
14,SIRRIN BEYİ,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %36, onde %64.",0/11 (0%) | 0/11 (0%) | 4/11 (36%) | 7/11 (64%),0/11 (0%),0/11 (0%),4/11 (36%),7/11 (64%),https://www.yenibeygir.com/at/101983/sirrin-beyi,101983
